Max Stress,Compliance
0.73262,10.725
0.79551,90.621
0.7773,86.695
0.63633,17.143
0.83335,66.303
0.67544,37.714
0.67317,69.959
0.6618,46.715
0.82133,49.068
0.7113,22.254
0.71084,29.202
0.72314,9.9639
0.80598,107.54
0.8457,73.387
0.96664,107.73
0.72614,20.36
0.81758,106.82
0.81432,90.908
0.83283,69.566
0.8141,52.635
0.80612,28.507
0.76494,87.004
0.78519,26.652
0.68293,13.105
0.82692,90.202
0.82686,78.924
0.79189,83.627
0.81164,75.196
0.6869,49.28
0.83776,44.702
0.80009,91.713
0.7623,34.54
0.83666,93.114
0.80263,89.131
0.79668,95.693
0.66433,62.366
0.78382,75.205
0.85413,113.7
0.69401,55.527
0.73368,12.972
0.96838,100.07
